pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,ndcg,mrr,tempo_resposta,categoria
Quais são os princípios da Lei de Acesso à Informação?,"['ARTIGO_3', 'ARTIGO_5', 'ARTIGO_6']","['ARTIGO_46', 'ARTIGO_20', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_42', 'ARTIGO_3', 'ARTIGO_40', 'ARTIGO_5', 'ARTIGO_38', 'ARTIGO_16']",0.0,0.6666666666666666,0.0,0.3152014104491349,0.1666666666666666,0.0019993782043457,Conceitual
O que são informações sigilosas segundo a LAI?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_26', 'ARTIGO_34', 'ARTIGO_25', 'ARTIGO_24', 'ARTIGO_35', 'ARTIGO_37', 'ARTIGO_32', 'ARTIGO_20', 'ARTIGO_15', 'ARTIGO_28']",0.2,0.3333333333333333,0.25,0.2021073465005475,0.25,0.0020017623901367,Mista
Como é feita a classificação de informações sigilosas?,"['ARTIGO_24', 'ARTIGO_25', 'ARTIGO_26', 'ARTIGO_27']","['ARTIGO_13', 'ARTIGO_25', 'ARTIGO_24', 'ARTIGO_26', 'ARTIGO_34', 'ARTIGO_35', 'ARTIGO_37', 'ARTIGO_3', 'ARTIGO_39', 'ARTIGO_23']",0.6,0.75,0.6666666666666665,0.6096199500078984,0.5,0.0020027160644531,Procedimental
Quais são os direitos do cidadão garantidos pela LAI?,"['ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9', 'ARTIGO_10']","['ARTIGO_21', 'ARTIGO_31', 'ARTIGO_7', 'ARTIGO_8', 'ARTIGO_32', 'ARTIGO_37', 'ARTIGO_12', 'ARTIGO_1', 'ARTIGO_3', 'ARTIGO_39']",0.4,0.5,0.4444444444444445,0.3633175612671683,0.3333333333333333,0.0020003318786621,Mista
Quais informações devem ser divulgadas proativamente pelos órgãos públicos?,"['ARTIGO_8', 'ARTIGO_9']","['ARTIGO_3', 'ARTIGO_10', 'ARTIGO_7', 'ARTIGO_16', 'ARTIGO_37', 'ARTIGO_34', 'ARTIGO_27', 'ARTIGO_21', 'ARTIGO_4', 'ARTIGO_126']",0.0,0.0,0.0,0.0,0.0,0.0010015964508056,Conceitual
Como funciona o recurso em caso de negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17', 'ARTIGO_18', 'ARTIGO_19']","['ARTIGO_15', 'ARTIGO_14', 'ARTIGO_17', 'ARTIGO_16', 'ARTIGO_18', 'ARTIGO_11', 'ARTIGO_24', 'ARTIGO_7', 'ARTIGO_5', 'ARTIGO_9']",0.8,0.8,0.8000000000000002,0.7860137352654724,1.0,0.0049977302551269,Procedimental
Quais são as responsabilidades dos órgãos públicos em relação à LAI?,"['ARTIGO_6', 'ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9']","['ARTIGO_31', 'ARTIGO_37', 'ARTIGO_26', 'ARTIGO_24', 'ARTIGO_2', 'ARTIGO_18', 'ARTIGO_12', 'ARTIGO_21', 'ARTIGO_33', 'ARTIGO_23']",0.0,0.0,0.0,0.0,0.0,0.0010278224945068,Conceitual
Como é tratada a informação pessoal pela LAI?,"['ARTIGO_4', 'ARTIGO_31']","['ARTIGO_34', 'ARTIGO_26', 'ARTIGO_32', 'ARTIGO_6', 'ARTIGO_31', 'ARTIGO_4', 'ARTIGO_3', 'ARTIGO_12', 'ARTIGO_39', 'ARTIGO_7']",0.2,1.0,0.3333333333333333,0.4556051495874603,0.2,0.0019996166229248,Mista
Qual a diferença entre informação sigilosa e informação pessoal?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_31']","['ARTIGO_36', 'ARTIGO_6', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_16', 'ARTIGO_32', 'ARTIGO_7', 'ARTIGO_11', 'ARTIGO_26', 'ARTIGO_28']",0.0,0.0,0.0,0.0,0.0,0.0015382766723632,Conceitual
Como solicitar a desclassificação de uma informação sigilosa?,"['ARTIGO_17', 'ARTIGO_29', 'ARTIGO_30']","['ARTIGO_13', 'ARTIGO_16', 'ARTIGO_25', 'ARTIGO_36', 'ARTIGO_6', 'ARTIGO_17', 'ARTIGO_32', 'ARTIGO_35', 'ARTIGO_7', 'ARTIGO_34']",0.0,0.3333333333333333,0.0,0.1671604549662022,0.1666666666666666,0.0010342597961425,Mista
