pergunta,artigos_relevantes_esperados,artigos_encontrados,precision_at_5,recall_at_10,f1_score,tempo_resposta
Quais são os princípios da Lei de Acesso à Informação?,"['ARTIGO_3', 'ARTIGO_5', 'ARTIGO_6']","['ARTIGO_46', 'ARTIGO_36', 'ARTIGO_42', 'ARTIGO_43', 'ARTIGO_38', 'ARTIGO_5', 'ARTIGO_44', 'ARTIGO_20', 'ARTIGO_14', 'ARTIGO_3']",0.0,0.6666666666666666,0.0,0.05199599266052246
O que são informações sigilosas segundo a LAI?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_24']","['ARTIGO_36', 'ARTIGO_43', 'ARTIGO_46', 'ARTIGO_38', 'ARTIGO_44', 'ARTIGO_42', 'ARTIGO_25', 'ARTIGO_14', 'ARTIGO_20', 'ARTIGO_34']",0.0,0.0,0.0,0.04652667045593262
Como é feita a classificação de informações sigilosas?,"['ARTIGO_24', 'ARTIGO_25', 'ARTIGO_26', 'ARTIGO_27']","['ARTIGO_36', 'ARTIGO_46', 'ARTIGO_43', 'ARTIGO_38', 'ARTIGO_42', 'ARTIGO_44', 'ARTIGO_14', 'ARTIGO_20', 'ARTIGO_25', 'ARTIGO_5']",0.0,0.25,0.0,0.04200291633605957
Quais são os direitos do cidadão garantidos pela LAI?,"['ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9', 'ARTIGO_10']","['ARTIGO_46', 'ARTIGO_43', 'ARTIGO_36', 'ARTIGO_42', 'ARTIGO_44', 'ARTIGO_38', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_14', 'ARTIGO_3']",0.0,0.0,0.0,0.04852485656738281
Quais informações devem ser divulgadas proativamente pelos órgãos públicos?,"['ARTIGO_8', 'ARTIGO_9']","['ARTIGO_8', 'ARTIGO_32', 'ARTIGO_31', 'ARTIGO_7', 'ARTIGO_11', 'ARTIGO_27', 'ARTIGO_24', 'ARTIGO_23', 'ARTIGO_35', 'ARTIGO_16']",0.2,0.5,0.28571428571428575,0.037001848220825195
Como funciona o recurso em caso de negativa de acesso à informação?,"['ARTIGO_15', 'ARTIGO_16', 'ARTIGO_17', 'ARTIGO_18', 'ARTIGO_19']","['ARTIGO_42', 'ARTIGO_14', 'ARTIGO_36', 'ARTIGO_38', 'ARTIGO_46', 'ARTIGO_15', 'ARTIGO_5', 'ARTIGO_126', 'ARTIGO_43', 'ARTIGO_44']",0.0,0.2,0.0,0.07005691528320312
Quais são as responsabilidades dos órgãos públicos em relação à LAI?,"['ARTIGO_6', 'ARTIGO_7', 'ARTIGO_8', 'ARTIGO_9']","['ARTIGO_46', 'ARTIGO_43', 'ARTIGO_44', 'ARTIGO_42', 'ARTIGO_36', 'ARTIGO_38', 'ARTIGO_20', 'ARTIGO_34', 'ARTIGO_5', 'ARTIGO_40']",0.0,0.0,0.0,0.04800152778625488
Como é tratada a informação pessoal pela LAI?,"['ARTIGO_4', 'ARTIGO_31']","['ARTIGO_36', 'ARTIGO_42', 'ARTIGO_38', 'ARTIGO_43', 'ARTIGO_46', 'ARTIGO_14', 'ARTIGO_44', 'ARTIGO_5', 'ARTIGO_20', 'ARTIGO_126']",0.0,0.0,0.0,0.06429171562194824
Qual a diferença entre informação sigilosa e informação pessoal?,"['ARTIGO_4', 'ARTIGO_23', 'ARTIGO_31']","['ARTIGO_38', 'ARTIGO_36', 'ARTIGO_4', 'ARTIGO_46', 'ARTIGO_25', 'ARTIGO_34', 'ARTIGO_43', 'ARTIGO_42', 'ARTIGO_44', 'ARTIGO_24']",0.2,0.3333333333333333,0.25,0.04523491859436035
Como solicitar a desclassificação de uma informação sigilosa?,"['ARTIGO_17', 'ARTIGO_29', 'ARTIGO_30']","['ARTIGO_38', 'ARTIGO_36', 'ARTIGO_14', 'ARTIGO_43', 'ARTIGO_46', 'ARTIGO_25', 'ARTIGO_4', 'ARTIGO_42', 'ARTIGO_17', 'ARTIGO_44']",0.0,0.3333333333333333,0.0,0.04507756233215332
